"code","lastPrice","movementPercentage","close","open","high","low","volume","high52Week","low52Week","tradesValue","numberOfTrades","marketCap","totalBuyOrders","totalBuyVolume","totalSellOrders","totalSellVolume","buySellOrderRatio","buySellVolRatio","mktDepth","companyName","companyDesc","sector","industry","peRatio","eps","peGrowth","debtEquity","pbRatio","beta","dividendAmount","dividendYield","dpsCurrent"
"14D","0.049","0.00","0.0490","0.049","0.049","0.049","20840","0.0940","0.0250","1021.16","1","12000000","7","1623159","13","318597","0.5","5.1","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1     20000    0.045          3       5960     0.049
        1     34605    0.041          1       1604     0.054
        1     12554     0.04          1      20000      0.06
        1    120000    0.035          1     134988     0.065
        2   1400000    0.029          1       6999     0.066
        1     36000    0.011          1      19038     0.067
                                      1      12820     0.078
                                      1       8000     0.079
                                      1      36153      0.08
                                      2      73035     0.095","1414 DEGREES LIMITED","1414 Degrees Limited (14D) is commercialising bulk energy storage solutions to transform intermittent renewable generation into baseload electricity and decarbonise heat supply. Its technology uses renewable electricity or biogas to provide combined heat and power solutions for consumers while stabilising electricity grids. Its silicon-based thermal energy storage devices provide compact solutions with the advantages of scalability, low cost, long life and flexible placement.","Industrials","Capital Goods",,"-0.009",,"2.6","1.18","0.66",,,
"1AD","0.024","-4.00","0.0250","0.024","0.025","0.024","872284","0.0540","0.0170","21174.816","11","12000000","21","5000489","16","3786397","1.3","1.3","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1    208333    0.024          5    1315218     0.025
        1     71505    0.023          2     860000     0.026
        3    353238    0.021          2     666000     0.027
        3   1265000     0.02          1     300000      0.03
        4   1190553    0.018          1     250000     0.033
        2   1247708    0.017          1      16000     0.034
        2    125058    0.016          1      81039     0.035
        3    399995    0.015          1      68140     0.045
        1     39000    0.013          1     200000      0.05
        1    100099     0.01          1      30000     0.054","ADALTA LIMITED","AdAlta Limited is a clinical stage drug development company headquartered in Melbourne, Australia. The Company is using its proprietary i-body technology platform to solve drug targeting problems and generate a new class of single domain antibody protein therapeutics with the potential to treat some of challenging medical conditions.","Health Care","Pharmaceuticals, Biotechnology & Life Sciences",,"-0.015",,"210.2","4.42","1.18",,,
"1AE","0.075","-2.60","0.0770","0.076","0.076","0.075","320000","0.2100","0.0530","24157.000","9","12000000","21","791230","14","680047","1.5","1.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2     70000    0.074          1       6500     0.075
        3    100000    0.073          2      49572     0.076
        1    125000    0.071          1      99405      0.08
        5    202071     0.07          2      52600     0.086
        1    100000    0.069          1      63000     0.095
        2     57929    0.065          1     100000       0.1
        1     20000    0.064          1     100000     0.105
        2      8000     0.06          1       5771      0.11
        1      5000    0.055          2      72895      0.16
        1     50000     0.05          1     110304     0.165","AURORA ENERGY METALS LIMITED","Aurora Energy Metals (1AE)  is an Australian company focused on the exploration and development of its Aurora Energy Metals Project in Oregon, USA. The Project hosts a defined uranium resource and is prospective for lithium. The Company will conduct exploration and evaluation programs to assess the potential of both these minerals.","Materials","Materials",,"-0.039",,"0.0","3.35","0.87",,,
"1AG","0.006","-25.00","0.0080","0.006","0.006","0.006","400000","0.0140","0.0060","2400.0","1","6000000","8","2750787","3","1529628","2.7","1.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        3   1400000    0.006          1     142999     0.008
        2    100752    0.005          1    1086629     0.009
        2    750011    0.002          1     300000     0.012
        1    500024    0.001","ALTERRA LIMITED","Alterra Limited (1AG, formerly Carbon Conscious Limited) is a horticultural project developer, currently focused on the development of its Carpenters avocado project in Western Australia. The Company also operates in the carbon farming sector, managing large-scale projects that yield carbon credits on behalf of Carbon Conscious Investments Limited (CCIL).","Consumer Staples","Food, Beverage & Tobacco",,"-0.003",,"175.8","0.54","1.02",,,
"1AI","0.011","-8.33","0.0120","0.013","0.013","0.011","6273652","0.0160","0.0110","73301.133","23","20000000","40","97289055","30","10926980","1.3","8.9","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
       10   8905775    0.011          4     182580     0.012
        6   3709521     0.01          5    2888410     0.013
        1   2500000    0.009          4    1896582     0.014
        4   9035000    0.008          2     304111     0.015
        5   1080009    0.007          2     732122     0.016
        4   1243750    0.006          2    1000000     0.017
        3   2000000    0.005          3     368600     0.018
        2   5065000    0.004          2     420000     0.019
        1   8000000    0.003          1    2000000      0.02
        2  15250000    0.002          1      12500     0.022","ALGORAE PHARMACEUTICALS LIMITED","Algorae Pharmaceuticals Limited (1AI, formerly Living Cell Technologies Limited) is an Australasian biotechnology company focused on discovering and developing novel treatments for debilitating conditions such as diabetes and Parkinson&#39;s.","Health Care","Pharmaceuticals, Biotechnology & Life Sciences",,"-0.002",,"0.0","5.0","1.07",,,
"1CG","0.012","-7.69","0.0130","0.013","0.013","0.012","154420","0.0260","0.0070","1854.359","5","9000000","29","7387436","18","4121046","1.6","1.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        6    619572    0.012          2     176425     0.013
        7   1695009    0.011          2    1148628     0.014
        1    196364     0.01          2     288567     0.015
        1    500000    0.009          2     244000     0.016
        1     62503    0.008          2      57143     0.017
        1    142998    0.007          1      33005     0.019
        1    100000    0.006          2      34718      0.02
        3    320000    0.005          1       1499     0.024
        3    750000    0.002          2    1487061     0.025
        5   3000990    0.001          1     600000     0.026","ONE CLICK GROUP LIMITED","One Click Group Limited (1CG, formerly UUV Aquabotix Ltd) is a fintech platform. It currently offer tax services, wills and private health insurance, Loan pack,etc. The One Click Life platform aims to be the one stop shop for everyday Australians who want to manage their financial life admin across, tax, wills, insurance, mortgages, investing and more.","Industrials","Capital Goods",,"-0.018",,"7.4","2.83","0.62",,,
"1MC","0.005","0.00","0.0050","0.005","0.006","0.005","1760516","0.0170","0.0050","9195.5700","19","31000000","121","183817284","190","133251834","0.6","1.4","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
       68  25210427    0.005         13    8728345     0.006
       22  22041561    0.004         46   24011575     0.007
       10  12749804    0.003         17   30766974     0.008
       12  94466644    0.002         11   12821964     0.009
        9  29348848    0.001         11    6201412      0.01
                                      3    3566335     0.011
                                      7   12517293     0.012
                                      2    1040000     0.013
                                      4     504500     0.014
                                      8    5738399     0.015","MORELLA CORPORATION LIMITED","Morella Corporation Limited (1MC, formerly Altura Mining Limited) is an ASX listed exploration and resource development company focused on lithium and battery minerals. Morella is currently engaged in exploration, resource definition and development activities with lithium projects strategically located, in Tier 1 mining jurisdictions in both Australia and the USA. Morella will develop lithium raw materials to support the surging demand for battery minerals.","Materials","Materials",,"-0.001",,"30.3","2.78","1.56",,,
"1TT","0.018","12.50","0.0160","0.016","0.018","0.016","321316","0.0430","0.0140","5465.647","13","5000000","23","108980681","44","5725115","0.5","19","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        2    295101    0.016          3     241649     0.018
        1     66000    0.015          1      58823     0.019
        3    330000    0.014          3      64109      0.02
        2     96000    0.013          1      54192     0.021
        1     83333    0.012          1       8334     0.023
        1    100000     0.01          1      49976     0.026
        1     70000    0.008          1     100000     0.027
        1    290000    0.006          1      40000     0.028
        2   3200000    0.005          1     250000     0.029
        2   7750247    0.004          4     380721      0.03","THRIVE TRIBE TECHNOLOGIES LIMITED","Thrive Tribe Technologies Limited (1TT, formerly Wooboard Technologies Limited) is an Australian-based software-as-a-service solutions company that provides enterprises with a range of services based on its proprietary employee reward, recognition and mindfulness platform, WooBoard. The focus is around creating happier and more productive employees by offering modules targeting mental health and wellbeing, skill building and performance optimisation of employees of large global enterprises.","Information Technology","Software & Services",,"-0.007",,"290.5","2.76","1.27",,,
"29M","0.48","-5.88","0.5100","0.51","0.515","0.48","1043120","2.6850","0.4600","514578.531","1053","358000000","66","1167480","65","1410906","1","0.8","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        9     52751     0.48          1      16558      0.49
        4     50858    0.475          3     119203     0.495
        5    154261     0.47          1       2000       0.5
        1      6000    0.465          1      16800     0.505
       14    316909     0.46          1      20891      0.51
        5     12204    0.455          2      22887     0.515
        6    329590     0.45          2      34988      0.53
        1      8000    0.445          1      10300     0.535
        3     53472     0.44          1       5827     0.545
        2      3501    0.435          3      29100      0.55","29METALS LIMITED","29 Metals (29M) is a copper-focused base and precious metals mining company. The Company develop and produces metals in the form of mineral concentrates that are sold to commodity trading firms or smelters for refining and on-sale as a refined metal product for end use. ","Materials","Materials","7.2","-0.096","0.11","37.1","0.35","1.79","2.0",,"0.019"
"360","6.89","-1.85","7.0200","7.07","7.07","6.88","572627","9.4800","4.4000","3972506.480","4102","1423000000","43","37458","113","180249","0.4","0.2","buyNum buyVol buyPrice sellNum sellVol sellPrice
--------- --------- -------- ---------- ---------- ---------
        1      2000     6.88          1        275      6.97
        1       690     6.87          2       4102      6.99
        1      2463     6.86          1       4072      7.08
        1        75     6.85          1        100       7.2
        2       727     6.84          1       1000      7.24
        1        60     6.83          1       1500      7.28
        1      3600     6.81          1       2000       7.3
        3       794      6.8          1       2753      7.35
        1       368     6.78          2       3400      7.38
        1      5000     6.77          1       1000      7.39","LIFE360 INC.","Life360 (360) operates a platform for busy families, bringing them closer together by helping them better know, communicate with, and protect the pets, people and things they care. Life360 is based in San Francisco and had approximately 50.8 million monthly active users (MAU) as of March 31, 2023, located in more than 150 countries","Information Technology","Software & Services",,"-3.69",,"3.1","1.27","1.14",,,
